"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"148","Mo Bamba","Lal","C","24.9","1","0.5","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"149","Malik Beasley","Lal","G","26.4","1","10.4","12","33.3","0","0","0","0","2","0","0","0","0","1","0","0","0","1","1","0","1","0","27.3","101.8"
"150","Brandon Boston Jr.","Lac","G","21.4","1","1","42","100","0","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","",""
"151","Vlatko Cancar","Den","F","26","1","2.1","21.1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","",""
"152","Max Christie","Lal","G","20.2","1","0.5","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"153","Amir Coffey","Lac","G-F","25.8","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"154","Terence Davis","Sac","G","25.9","1","1.7","23.2","100","0","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","",""
"155","Kessler Edwards","Sac","F","22.7","1","0.2","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"156","Wenyen Gabriel","Lal","F","26.1","1","0.5","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""

"157","JaMychal Green","Gol","F-C","32.8","1","0.8","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"158","Jeff Green","Den","F","36.6","1","22.7","9.7","20","0","0","1","0","3","0","0","0","0","2","1","1","1","1","2","1","3","0","14.4","103.5"
"159","Montrezl Harrell","Phi","F-C","29.2","1","2.1","21.7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"160","Danuel House Jr.","Phi","F-G","29.9","2","2.4","9.7","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","",""
"161","Reggie Jackson","Den","G","33","1","4.3","10.3","100","0","0","0","0","0","0","","","0","0","1","1","0","1","0","1","1","0","","109"
"162","John Konchar","Mem","G","27.1","1","0.5","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"163","Furkan Korkmaz","Phi","G-F","25.7","1","2.4","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"164","Luke Kornet","Bos","F-C","27.8","1","0.8","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"165","Damion Lee","Pho","G-F","30.5","1","3.2","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"166","Kenneth Lofton Jr.","Mem","F","20.7","1","0.5","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"167","Miles McBride","Nyk","G","22.6","1","2.6","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"168","Jordan McLaughlin","Min","G","27","1","10.3","14","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","23.2","97"
"169","Josh Minott","Min","F","20.4","1","6.3","15.2","50","0","0","0","0","1","0","0","0","0","0","0","2","1","1","0","0","0","0","0","88.3"
"170","Wendell Moore Jr.","Min","G","21.6","1","2.1","22.8","100","0","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","",""
"171","Raul Neto","Cle","G","30.9","1","3.2","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"172","Jason Preston","Lac","G","23.7","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"173","Taurean Prince","Min","F","29.1","1","21.3","9","0","0","0","1","0","3","0","0","0","0","0","2","0","0","0","0","2","2","0","33.1","119"
"174","David Roddy","Mem","F","22.1","1","8.5","5.2","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","2","0","58.7","118.3"
"175","Terrence Ross","Pho","G-F","32.2","1","4.2","11","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","116.7"
"176","Ricky Rubio","Cle","G","32.5","1","5.5","24.9","66.7","0","0","1","0","0","0","0","0","0","2","0","1","0","2","2","0","2","0","0","56.6"
"177","Ish Smith","Den","G","34.8","1","4.3","10.3","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","91.3"
"178","Jaden Springer","Phi","G","20.6","1","2.4","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"179","Edmond Sumner","Bro","G","27.3","1","4.5","0","","0","0","0","0","0","0","","","0","0","1","0","0","0","0","1","1","0","","125.2"
"180","Cam Thomas","Bro","G","21.5","1","4.5","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125.2"
"181","Ish Wainright","Pho","F","28.6","2","3.7","12.4","0","0","0","0","0","2","0","0","0","0","0.5","0","0","0.5","0","0.5","0","0.5","0","",""
"182","Lonnie Walker IV","Lal","G-F","24.3","1","0.5","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"183","T.J. Warren","Pho","F","29.6","1","2.2","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"184","Peyton Watson","Den","G","20.6","1","4.3","10.3","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","2","0","104.3","123.4"
"185","Ziaire Williams","Mem","F","21.6","1","0.5","88.9","100","0","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","",""
"186","Shaquille Harrison","Lal","G","29.5","1","0.5","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
